Student,Homework 1 (English version),Homework 1 (Estonian version),Homework 2 (English version),Homework 2 (Estonian version),Homework 3 (English version),Homework 3 (Estonian version),Homework 4 (English version),Homework 4 (Estonian version),Homework 5 (English version),Homework 5 (Estonian version),Homework 6 (English version),Homework 6 (Estonian version),Homework 7 (English version),Homework 7 (Estonian version),Homework 8 (English version),Homework 8 (Estonian version),Homework 9 (English version),Homework 9 (Estonian version),Homework 10 (English version),Homework 10 (Estonian version),Homework 11 (English version),Homework 11 (Estonian version),Homework 12 (English version),Homework 12 (Estonian version),Midterm exam (English version),Midterm exam (Estonian version),Midterm exam retake (English version),Midterm exam retake (Estonian version),Midterm exam retake 2 (English version),Midterm exam retake 2 (Estonian version),First final exam (English version),First final exam (Estonian version),Second final exam (English version),Second final exam (Estonian version),Final exam retake (English version),Final exam retake (Estonian version),Total,Grade
A015,-,100.0,-,87.0,-,110.0,-,87.5,-,103.0,-,39.0,-,66.0,-,52.0,-,75.0,-,0.0,-,57.0,-,0.0,-,86,-,-,-,-,-,83,-,-,-,-,80.54,B
A016,-,40.0,0.0,0.0,-,70.0,-,50.0,-,-,-,-,-,-,-,-,-,-,-,60.0,-,-,-,-,-,-,-,76,-,-,-,68,-,-,-,-,61.27,D
A017,110.0,-,91.0,-,90.0,-,87.5,-,103.0,-,107.0,-,90.0,-,20.0,-,100.0,-,43.0,-,51.0,-,54.0,-,110,-,-,-,-,-,-,-,110,-,-,-,103.78,A
A018,-,110.0,-,95.0,-,100.0,-,50.0,-,96.0,-,71.0,-,57.0,-,10.0,-,80.0,-,55.0,-,41.0,-,0.0,-,77,-,-,-,-,-,80,-,-,-,-,75.55,C
A019,-,100.0,-,104.0,-,80.0,-,70.0,-,100.0,-,68.0,-,29.0,-,55.0,-,73.0,-,30.0,-,60.0,-,25.0,-,44,-,-,-,62,-,31,-,-,-,-,50.43,E
A020,-,80.0,-,0.0,-,40.0,-,100.0,-,87.0,-,24.0,-,47.0,-,5.0,-,60.0,-,0.0,-,32.0,0.0,87.0,-,63,-,-,-,-,-,40,-,-,-,-,50.57,E
A021,100.0,-,110.0,-,110.0,-,110.0,-,94.0,-,84.0,-,0.0,-,0.0,-,-,-,-,-,-,-,-,-,78,-,-,-,-,-,-,-,-,52,-,-,62.13,D
A022,110.0,-,110.0,-,90.0,-,66.0,-,83.0,-,84.0,36.0,68.0,-,5.0,-,98.0,-,100.0,-,66.0,-,-,-,86,-,-,-,-,-,63,-,-,-,-,-,74.27,C
A023,-,90.0,-,100.0,-,110.0,-,108.0,-,105.0,-,110.0,-,74.0,-,110.0,-,110.0,-,90.0,-,107.0,-,94.0,-,104,-,-,-,-,-,-,-,108,-,-,104.93,A
A024,-,100.0,-,110.0,-,110.0,-,110.0,-,109.0,-,98.0,-,100.0,-,40.0,-,100.0,-,100.0,-,85.0,-,-,-,89,-,-,-,-,-,104,-,-,-,-,94.9,A
